"token","referral","creationDate","lastUpdate","status","P1","S4","F2","A1","R3","P3","S1","D1","F1","A4","A2","D4","S2","A3","R2","D2","F3","R1","P2","S3","D3","F4","P4","R4","age","gender","countryOfOrigin_value","countryOfOrigin_label","hexadType_philanthropist","hexadType_socializer","hexadType_freeSpirit","hexadType_achiever","hexadType_player","hexadType_disruptor","hexadType_percentage_philanthropist","hexadType_percentage_socializer","hexadType_percentage_freeSpirit","hexadType_percentage_achiever","hexadType_percentage_player","hexadType_percentage_disruptor"
"c5f3064a-f994-4cc7-9af5-68511587516d","facebook","2022-01-06T23:34:26.917Z","2022-01-06T23:36:24.772Z","final",4,1,6,5,1,4,2,4,7,4,4,4,1,4,4,4,7,4,4,1,4,4,4,4,49,"female","gb","United Kingdom of Great Britain and Northern Ireland",16,5,24,17,13,16,57.14,17.86,85.71,60.71,46.43,57.14
"e094d917-3d5c-4eb5-bcea-a4bbb6f10a7a","facebook","2022-01-07T00:56:40.605Z","2022-01-07T00:57:47.198Z","final",6,4,7,5,7,6,5,4,6,6,6,3,4,5,6,6,6,6,3,5,2,7,7,7,21,"female","ie","Ireland",22,18,26,22,26,15,78.57,64.29,92.86,78.57,92.86,53.57
"b899bf70-3871-4e40-a0e6-77cab3c01b27","facebook","2022-01-07T01:22:01.334Z","2022-01-07T01:22:57.540Z","final",7,7,7,6,4,7,7,6,7,7,6,2,6,7,7,4,5,7,7,7,1,6,7,7,,,,,28,27,25,26,25,13,100.0,96.43,89.29,92.86,89.29,46.43
"38622d52-9091-4a6b-90a6-fad357775eef","facebook","2022-01-07T01:48:22.519Z","2022-01-07T01:52:44.378Z","final",6,5,6,5,6,6,5,4,6,7,7,2,5,6,6,3,4,5,4,5,5,6,4,6,14,"male","ca","Canada",20,20,22,25,23,14,71.43,71.43,78.57,89.29,82.14,50.0
"ded02e23-7be3-4b77-8c44-28271d878015","facebook","2022-01-07T01:53:22.472Z","2022-01-07T01:56:30.768Z","final",7,5,5,7,6,6,3,1,7,7,6,7,2,2,7,7,7,7,6,1,4,7,4,7,43,"male","gb","United Kingdom of Great Britain and Northern Ireland",23,11,26,22,27,19,82.14,39.29,92.86,78.57,96.43,67.86
"b386732f-d6df-45bb-9961-659483269233","facebook","2022-01-07T02:40:33.630Z","2022-01-07T02:42:19.084Z","final",6,3,5,5,6,5,3,1,7,5,6,1,3,6,6,1,6,5,2,2,1,1,5,5,50,"female","au","Australia",18,11,19,22,22,4,64.29,39.29,67.86,78.57,78.57,14.29
"66c8a641-e9ad-407f-8e6b-d8b5b899a7de","facebook","2022-01-07T02:47:35.286Z","2022-01-07T02:50:15.391Z","final",6,6,6,6,5,7,6,4,6,6,6,3,5,6,6,5,5,6,6,6,4,5,6,6,44,"female","nz","New Zealand",25,23,22,24,23,16,89.29,82.14,78.57,85.71,82.14,57.14
"06fb5808-8589-40ea-aef6-2ca1ba1fac5a","facebook","2022-01-07T03:17:26.896Z","2022-01-07T03:21:16.448Z","final",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,"other","nz","New Zealand",4,4,4,4,4,4,14.29,14.29,14.29,14.29,14.29,14.29
"422ecab3-5381-4c43-894b-a627bfb9a392","facebook","2022-01-07T03:18:43.049Z","2022-01-07T03:19:45.783Z","final",7,4,7,7,6,7,7,4,7,7,7,7,3,7,7,1,7,1,6,7,7,1,7,2,23,,"nz","New Zealand",27,21,22,28,16,19,96.43,75.0,78.57,100.0,57.14,67.86
"d8324675-d9d1-432f-8041-70e07d3b265b","none","2022-01-07T03:19:52.757Z","2022-01-07T03:21:44.752Z","final",7,5,6,7,5,7,5,3,5,6,7,4,5,7,6,5,6,7,7,5,3,5,7,6,15,"male","us","United States of America",28,20,22,27,24,15,100.0,71.43,78.57,96.43,85.71,53.57
"d643824f-941b-4678-a278-a5b7fbc6a7d9","none","2022-01-07T03:20:53.480Z","2022-01-07T03:22:17.474Z","final",7,5,7,6,5,6,7,5,5,4,5,3,6,6,6,5,5,5,7,6,3,6,7,5,20,"male","de","Germany",27,24,23,21,21,16,96.43,85.71,82.14,75.0,75.0,57.14
"7ebfad21-b2fe-4e71-b59e-a06e923e4559","none","2022-01-07T03:21:03.338Z","2022-01-07T03:23:10.468Z","final",7,7,7,7,6,6,7,1,6,7,7,4,6,7,6,5,6,3,6,2,1,3,7,6,,"male",,,26,22,22,28,21,11,92.86,78.57,78.57,100.0,75.0,39.29
"db50ac32-98bd-4555-83df-b6c34f3de00b","facebook","2022-01-07T03:25:48.648Z","2022-01-07T03:27:21.989Z","final",6,7,4,4,4,5,7,5,4,4,1,3,7,5,4,4,7,7,4,5,6,6,5,6,23,"female","au","Australia",20,26,21,14,21,18,71.43,92.86,75.0,50.0,75.0,64.29
"4359c1be-ee92-49a6-8753-00e75fb64478","none","2022-01-07T03:36:20.978Z","2022-01-07T03:43:59.453Z","final",7,4,7,7,7,7,4,1,7,7,1,1,7,7,7,7,3,7,7,7,1,7,7,7,14,"female",,,28,22,24,22,28,10,100.0,78.57,85.71,78.57,100.0,35.71
"2ef72c25-c86d-4f34-8617-dcd754df953a","facebook","2022-01-07T04:04:12.315Z","2022-01-07T04:05:17.957Z","final",7,5,7,6,6,7,7,1,4,6,6,3,5,7,2,3,5,2,7,5,5,5,7,5,,,,,28,22,21,25,15,12,100.0,78.57,75.0,89.29,53.57,42.86
"d5f57b66-21cd-4588-a107-6f485aa29177","facebook","2022-01-07T04:09:14.860Z","2022-01-07T04:10:54.638Z","final",5,5,6,6,7,6,4,3,4,5,6,2,4,5,7,4,2,7,5,2,4,6,5,7,30,"female","ca","Canada",21,15,18,22,28,13,75.0,53.57,64.29,78.57,100.0,46.43
"2c4cdc60-2dcd-43a4-b844-f12ada7fcd49","none","2022-01-07T04:16:53.729Z","2022-01-07T04:19:23.878Z","final",6,4,6,2,4,6,3,4,6,7,1,5,3,6,5,5,5,5,5,4,4,5,6,5,28,"female","ca","Canada",23,14,22,16,19,18,82.14,50.0,78.57,57.14,67.86,64.29
"9d323e63-b540-499c-80fd-368cd9067d38","facebook","2022-01-07T04:25:19.583Z","2022-01-07T04:26:36.026Z","final",6,5,7,6,4,7,5,1,3,5,7,3,5,7,6,7,4,4,7,5,2,4,7,7,31,"female","au","Australia",27,20,18,25,21,13,96.43,71.43,64.29,89.29,75.0,46.43
"acaf9760-9d2f-4770-b32e-39791bcdc8c5","facebook","2022-01-07T04:33:49.569Z","2022-01-07T04:35:56.071Z","final",7,4,6,7,4,7,2,1,7,7,7,2,4,7,4,4,7,1,7,4,4,4,6,1,19,"male","nz","New Zealand",27,14,24,28,10,11,96.43,50.0,85.71,100.0,35.71,39.29
"ac07db27-06ab-4336-afba-5ecb9cf968fd","facebook","2022-01-07T04:37:37.100Z","2022-01-07T04:40:04.194Z","final",7,7,5,5,5,5,5,3,3,7,5,2,5,4,5,7,7,3,7,5,3,3,7,7,20,"male","au","Australia",26,22,18,21,20,15,92.86,78.57,64.29,75.0,71.43,53.57
"5eef211a-d1b3-4203-8381-5435062252ac","facebook","2022-01-07T04:54:26.585Z","2022-01-07T04:57:00.810Z","final",5,4,5,6,6,6,5,4,6,5,6,4,5,6,7,4,6,7,5,5,6,6,6,6,19,"female","ca","Canada",22,19,23,23,26,18,78.57,67.86,82.14,82.14,92.86,64.29
"80bd3b1a-09dd-4150-83df-5c4055946f94","facebook","2022-01-07T05:09:43.976Z","2022-01-07T05:11:16.053Z","final",7,6,6,7,7,7,3,4,7,7,6,3,6,6,7,7,7,7,7,3,2,5,7,7,25,"male","au","Australia",28,18,25,26,28,16,100.0,64.29,89.29,92.86,100.0,57.14
"4136959c-9691-4aa2-b622-447fa1d31873","facebook","2022-01-07T05:21:20.288Z","2022-01-07T05:23:45.703Z","final",6,3,5,7,7,6,3,1,6,7,7,4,3,6,7,5,5,6,5,5,3,7,7,7,26,"male","nz","New Zealand",24,14,23,27,27,13,85.71,50.0,82.14,96.43,96.43,46.43
"67e5d42a-c594-4e0f-b2e6-4c9fc0da43bf","facebook","2022-01-07T05:59:32.631Z","2022-01-07T07:26:09.338Z","final",5,2,6,6,6,5,2,4,6,4,4,5,3,5,4,3,7,3,6,5,4,5,6,6,21,"male","au","Australia",22,12,24,19,19,16,78.57,42.86,85.71,67.86,67.86,57.14
"49ebdac1-1c6e-4cc9-8af7-887ee4c41694","facebook","2022-01-07T06:10:03.774Z","2022-01-07T06:11:19.872Z","final",6,6,7,6,3,6,3,2,6,7,7,7,6,6,2,7,7,3,4,2,6,6,6,1,41,"other","au","Australia",22,17,26,26,9,22,78.57,60.71,92.86,92.86,32.14,78.57
"774d3181-7b7b-428a-9762-3295139fae27","facebook","2022-01-07T06:11:25.982Z","2022-01-07T06:13:00.305Z","final",7,6,7,6,7,7,5,2,6,7,7,3,7,7,7,6,6,7,7,5,4,7,7,7,25,"male","ie","Ireland",28,23,26,27,28,15,100.0,82.14,92.86,96.43,100.0,53.57
"0e6c9daf-3c58-4b3c-b3ff-b25dd45baf1e","facebook","2022-01-07T06:23:21.001Z","2022-01-07T06:27:27.179Z","final",6,6,6,7,5,6,5,3,6,7,6,3,6,6,5,6,6,3,6,6,7,6,6,6,36,"male","au","Australia",24,23,24,26,19,19,85.71,82.14,85.71,92.86,67.86,67.86
"047d6aef-2b45-4977-b431-d4179b07712f","facebook","2022-01-07T06:29:17.324Z","2022-01-07T06:30:37.586Z","final",6,6,7,7,7,7,6,7,6,7,7,3,6,7,6,6,6,5,6,6,6,5,5,6,23,,"au","Australia",24,24,24,28,24,22,85.71,85.71,85.71,100.0,85.71,78.57
"b9bdbb2b-6544-4027-ae31-f0aa5dc25db7","facebook","2022-01-07T06:33:40.959Z","2022-01-07T06:35:40.797Z","final",7,5,3,4,6,5,1,2,6,7,5,1,3,6,5,6,7,4,5,2,1,3,5,6,,,,,22,11,19,22,21,10,78.57,39.29,67.86,78.57,75.0,35.71
"23122499-4dac-4679-9c62-3f2651cf95d7","facebook","2022-01-07T07:05:38.225Z","2022-01-07T07:07:04.002Z","final",6,4,6,5,4,6,4,2,4,5,5,3,4,5,6,5,5,7,4,5,3,5,5,6,23,"female","nz","New Zealand",21,17,20,20,23,13,75.0,60.71,71.43,71.43,82.14,46.43
"a4d41419-afde-416e-b3cf-780e685ff72f","facebook","2022-01-07T07:32:02.181Z","2022-01-07T07:33:17.128Z","final",4,3,5,5,6,6,4,2,5,6,6,2,4,4,6,4,6,6,2,2,1,4,1,6,33,"male","ie","Ireland",13,13,20,21,24,9,46.43,46.43,71.43,75.0,85.71,32.14
"679eea47-d5e5-4d4d-afc1-6a275e87c659","none","2022-01-07T07:37:54.536Z","2022-01-07T07:38:58.108Z","final",6,7,6,5,5,7,7,6,3,6,3,2,6,5,7,3,6,7,6,7,2,6,7,7,19,"female","au","Australia",26,27,21,19,26,13,92.86,96.43,75.0,67.86,92.86,46.43
